Campaign,Funnel,Slot Goal,Target CPM,Target CTR,Target CPC,Target CPL (VND),Booking Rate,Show Rate,Close Rate,Min Daily,Scale Threshold,Kill Threshold
GV_THPT_Quiz_LionCamp_2026,Quiz,100,"150,000 - 250,000",≥ 1.8%,"≤ 8,000",120000,20-35%,60-80%,15-30%,306000,"CPL ≤ 96,000đ + CTR ≥ 2.5% — tăng 20%/ngày","CPL > 180,000đ sau 3 ngày"
GV_THPT_VSL_LionCamp_2026,VSL,100,"150,000 - 250,000",≥ 2.2%,"≤ 8,000",90000,20-35%,60-80%,15-30%,184000,"CPL ≤ 72,000đ + CTR ≥ 2.5% — tăng 20%/ngày","CPL > 135,000đ sau 3 ngày"
GV_THPT_Sales_LionCamp_2026,Sales,100,"150,000 - 250,000",≥ 2.2%,"≤ 8,000",350000,20-35%,60-80%,25-40%,122500,"CPL ≤ 280,000đ + CTR ≥ 2.5% — tăng 20%/ngày","CPL > 525,000đ sau 3 ngày"
BT_THPT_Quiz_LionCamp_2026,Quiz,100,"150,000 - 250,000",≥ 1.8%,"≤ 8,000",120000,20-35%,60-80%,15-30%,306000,"CPL ≤ 96,000đ + CTR ≥ 2.5% — tăng 20%/ngày","CPL > 180,000đ sau 3 ngày"
BT_THPT_VSL_LionCamp_2026,VSL,100,"150,000 - 250,000",≥ 2.2%,"≤ 8,000",90000,20-35%,60-80%,15-30%,184000,"CPL ≤ 72,000đ + CTR ≥ 2.5% — tăng 20%/ngày","CPL > 135,000đ sau 3 ngày"
BT_THPT_Sales_LionCamp_2026,Sales,100,"150,000 - 250,000",≥ 2.2%,"≤ 8,000",350000,20-35%,60-80%,25-40%,122500,"CPL ≤ 280,000đ + CTR ≥ 2.5% — tăng 20%/ngày","CPL > 525,000đ sau 3 ngày"
GV_THCS_Quiz_LionCamp_2026,Quiz,100,"150,000 - 250,000",≥ 1.8%,"≤ 8,000",100000,20-35%,60-80%,15-30%,262500,"CPL ≤ 80,000đ + CTR ≥ 2.5% — tăng 20%/ngày","CPL > 150,000đ sau 3 ngày"
GV_THCS_VSL_LionCamp_2026,VSL,100,"150,000 - 250,000",≥ 2.2%,"≤ 8,000",75000,20-35%,60-80%,15-30%,157500,"CPL ≤ 60,000đ + CTR ≥ 2.5% — tăng 20%/ngày","CPL > 112,500đ sau 3 ngày"
GV_THCS_Sales_LionCamp_2026,Sales,100,"150,000 - 250,000",≥ 2.2%,"≤ 8,000",250000,20-35%,60-80%,25-40%,105000,"CPL ≤ 200,000đ + CTR ≥ 2.5% — tăng 20%/ngày","CPL > 375,000đ sau 3 ngày"
BT_THCS_Quiz_LionCamp_2026,Quiz,100,"150,000 - 250,000",≥ 1.8%,"≤ 8,000",100000,20-35%,60-80%,15-30%,262500,"CPL ≤ 80,000đ + CTR ≥ 2.5% — tăng 20%/ngày","CPL > 150,000đ sau 3 ngày"
BT_THCS_VSL_LionCamp_2026,VSL,100,"150,000 - 250,000",≥ 2.2%,"≤ 8,000",75000,20-35%,60-80%,15-30%,157500,"CPL ≤ 60,000đ + CTR ≥ 2.5% — tăng 20%/ngày","CPL > 112,500đ sau 3 ngày"
BT_THCS_Sales_LionCamp_2026,Sales,100,"150,000 - 250,000",≥ 2.2%,"≤ 8,000",250000,20-35%,60-80%,25-40%,105000,"CPL ≤ 200,000đ + CTR ≥ 2.5% — tăng 20%/ngày","CPL > 375,000đ sau 3 ngày"
GV_TH_Quiz_LionCamp_2026,Quiz,50,"150,000 - 250,000",≥ 1.8%,"≤ 8,000",80000,20-35%,60-80%,15-30%,184000,"CPL ≤ 64,000đ + CTR ≥ 2.5% — tăng 20%/ngày","CPL > 120,000đ sau 3 ngày"
GV_TH_VSL_LionCamp_2026,VSL,50,"150,000 - 250,000",≥ 2.2%,"≤ 8,000",60000,20-35%,60-80%,15-30%,110000,"CPL ≤ 48,000đ + CTR ≥ 2.5% — tăng 20%/ngày","CPL > 90,000đ sau 3 ngày"
GV_TH_Sales_LionCamp_2026,Sales,50,"150,000 - 250,000",≥ 2.2%,"≤ 8,000",200000,20-35%,60-80%,25-40%,73500,"CPL ≤ 160,000đ + CTR ≥ 2.5% — tăng 20%/ngày","CPL > 300,000đ sau 3 ngày"
BT_TH_Quiz_LionCamp_2026,Quiz,50,"150,000 - 250,000",≥ 1.8%,"≤ 8,000",80000,20-35%,60-80%,15-30%,184000,"CPL ≤ 64,000đ + CTR ≥ 2.5% — tăng 20%/ngày","CPL > 120,000đ sau 3 ngày"
BT_TH_VSL_LionCamp_2026,VSL,50,"150,000 - 250,000",≥ 2.2%,"≤ 8,000",60000,20-35%,60-80%,15-30%,110000,"CPL ≤ 48,000đ + CTR ≥ 2.5% — tăng 20%/ngày","CPL > 90,000đ sau 3 ngày"
BT_TH_Sales_LionCamp_2026,Sales,50,"150,000 - 250,000",≥ 2.2%,"≤ 8,000",200000,20-35%,60-80%,25-40%,73500,"CPL ≤ 160,000đ + CTR ≥ 2.5% — tăng 20%/ngày","CPL > 300,000đ sau 3 ngày"
CL_TH_Quiz_LionCamp_2026,Quiz,50,"150,000 - 250,000",≥ 1.8%,"≤ 8,000",80000,20-35%,60-80%,15-30%,122500,"CPL ≤ 64,000đ + CTR ≥ 2.5% — tăng 20%/ngày","CPL > 120,000đ sau 3 ngày"
CL_TH_VSL_LionCamp_2026,VSL,50,"150,000 - 250,000",≥ 2.2%,"≤ 8,000",60000,20-35%,60-80%,15-30%,73500,"CPL ≤ 48,000đ + CTR ≥ 2.5% — tăng 20%/ngày","CPL > 90,000đ sau 3 ngày"
CL_TH_Sales_LionCamp_2026,Sales,50,"150,000 - 250,000",≥ 2.2%,"≤ 8,000",200000,20-35%,60-80%,25-40%,49000,"CPL ≤ 160,000đ + CTR ≥ 2.5% — tăng 20%/ngày","CPL > 300,000đ sau 3 ngày"
RG_TH_Quiz_LionCamp_2026,Quiz,50,"150,000 - 250,000",≥ 1.8%,"≤ 8,000",80000,20-35%,60-80%,15-30%,122500,"CPL ≤ 64,000đ + CTR ≥ 2.5% — tăng 20%/ngày","CPL > 120,000đ sau 3 ngày"
RG_TH_VSL_LionCamp_2026,VSL,50,"150,000 - 250,000",≥ 2.2%,"≤ 8,000",60000,20-35%,60-80%,15-30%,73500,"CPL ≤ 48,000đ + CTR ≥ 2.5% — tăng 20%/ngày","CPL > 90,000đ sau 3 ngày"
RG_TH_Sales_LionCamp_2026,Sales,50,"150,000 - 250,000",≥ 2.2%,"≤ 8,000",200000,20-35%,60-80%,25-40%,49000,"CPL ≤ 160,000đ + CTR ≥ 2.5% — tăng 20%/ngày","CPL > 300,000đ sau 3 ngày"
