Campaign,Ad Set,Ad Name,Format,Theme,Primary Text Hook,Headline,CTA Button,Landing URL
GV_TH_Quiz_LionCamp_2026,GV_TH_Quiz_Broad,GV_TH_Quiz_TH_AD01_Pain,Single Video 9:16 + Square 1:1 (Dynamic),Pain,Mùa hè này con bạn sẽ làm gì? Ở nhà với điện thoại?,Hè Vàng — Đừng để lãng phí,Đăng ký ngay,https://truongvietanh.com/lioncamp/quiz?utm_source=fb&utm_campaign=GV_TH_Quiz_LionCamp_2026
GV_TH_Quiz_LionCamp_2026,GV_TH_Quiz_Interest,GV_TH_Quiz_TH_AD01_Pain,Single Video 9:16 + Square 1:1 (Dynamic),Pain,Mùa hè này con bạn sẽ làm gì? Ở nhà với điện thoại?,Hè Vàng — Đừng để lãng phí,Đăng ký ngay,https://truongvietanh.com/lioncamp/quiz?utm_source=fb&utm_campaign=GV_TH_Quiz_LionCamp_2026
GV_TH_Quiz_LionCamp_2026,GV_TH_Quiz_LAL,GV_TH_Quiz_TH_AD01_Pain,Single Video 9:16 + Square 1:1 (Dynamic),Pain,Mùa hè này con bạn sẽ làm gì? Ở nhà với điện thoại?,Hè Vàng — Đừng để lãng phí,Đăng ký ngay,https://truongvietanh.com/lioncamp/quiz?utm_source=fb&utm_campaign=GV_TH_Quiz_LionCamp_2026
GV_TH_Quiz_LionCamp_2026,GV_TH_Quiz_RMK,GV_TH_Quiz_TH_AD01_Pain,Single Video 9:16 + Square 1:1 (Dynamic),Pain,Mùa hè này con bạn sẽ làm gì? Ở nhà với điện thoại?,Hè Vàng — Đừng để lãng phí,Đăng ký ngay,https://truongvietanh.com/lioncamp/quiz?utm_source=fb&utm_campaign=GV_TH_Quiz_LionCamp_2026
BT_TH_Quiz_LionCamp_2026,BT_TH_Quiz_Broad,BT_TH_Quiz_TH_AD01_Pain,Single Video 9:16 + Square 1:1 (Dynamic),Pain,Mùa hè này con bạn sẽ làm gì? Ở nhà với điện thoại?,Hè Vàng — Đừng để lãng phí,Đăng ký ngay,https://truongvietanh.com/lioncamp/quiz?utm_source=fb&utm_campaign=BT_TH_Quiz_LionCamp_2026
BT_TH_Quiz_LionCamp_2026,BT_TH_Quiz_Interest,BT_TH_Quiz_TH_AD01_Pain,Single Video 9:16 + Square 1:1 (Dynamic),Pain,Mùa hè này con bạn sẽ làm gì? Ở nhà với điện thoại?,Hè Vàng — Đừng để lãng phí,Đăng ký ngay,https://truongvietanh.com/lioncamp/quiz?utm_source=fb&utm_campaign=BT_TH_Quiz_LionCamp_2026
BT_TH_Quiz_LionCamp_2026,BT_TH_Quiz_LAL,BT_TH_Quiz_TH_AD01_Pain,Single Video 9:16 + Square 1:1 (Dynamic),Pain,Mùa hè này con bạn sẽ làm gì? Ở nhà với điện thoại?,Hè Vàng — Đừng để lãng phí,Đăng ký ngay,https://truongvietanh.com/lioncamp/quiz?utm_source=fb&utm_campaign=BT_TH_Quiz_LionCamp_2026
BT_TH_Quiz_LionCamp_2026,BT_TH_Quiz_RMK,BT_TH_Quiz_TH_AD01_Pain,Single Video 9:16 + Square 1:1 (Dynamic),Pain,Mùa hè này con bạn sẽ làm gì? Ở nhà với điện thoại?,Hè Vàng — Đừng để lãng phí,Đăng ký ngay,https://truongvietanh.com/lioncamp/quiz?utm_source=fb&utm_campaign=BT_TH_Quiz_LionCamp_2026
CL_TH_Quiz_LionCamp_2026,CL_TH_Quiz_Broad,CL_TH_Quiz_TH_AD01_Pain,Single Video 9:16 + Square 1:1 (Dynamic),Pain,Mùa hè này con bạn sẽ làm gì? Ở nhà với điện thoại?,Hè Vàng — Đừng để lãng phí,Đăng ký ngay,https://truongvietanh.com/lioncamp/quiz?utm_source=fb&utm_campaign=CL_TH_Quiz_LionCamp_2026
CL_TH_Quiz_LionCamp_2026,CL_TH_Quiz_Interest,CL_TH_Quiz_TH_AD01_Pain,Single Video 9:16 + Square 1:1 (Dynamic),Pain,Mùa hè này con bạn sẽ làm gì? Ở nhà với điện thoại?,Hè Vàng — Đừng để lãng phí,Đăng ký ngay,https://truongvietanh.com/lioncamp/quiz?utm_source=fb&utm_campaign=CL_TH_Quiz_LionCamp_2026
CL_TH_Quiz_LionCamp_2026,CL_TH_Quiz_LAL,CL_TH_Quiz_TH_AD01_Pain,Single Video 9:16 + Square 1:1 (Dynamic),Pain,Mùa hè này con bạn sẽ làm gì? Ở nhà với điện thoại?,Hè Vàng — Đừng để lãng phí,Đăng ký ngay,https://truongvietanh.com/lioncamp/quiz?utm_source=fb&utm_campaign=CL_TH_Quiz_LionCamp_2026
CL_TH_Quiz_LionCamp_2026,CL_TH_Quiz_RMK,CL_TH_Quiz_TH_AD01_Pain,Single Video 9:16 + Square 1:1 (Dynamic),Pain,Mùa hè này con bạn sẽ làm gì? Ở nhà với điện thoại?,Hè Vàng — Đừng để lãng phí,Đăng ký ngay,https://truongvietanh.com/lioncamp/quiz?utm_source=fb&utm_campaign=CL_TH_Quiz_LionCamp_2026
RG_TH_Quiz_LionCamp_2026,RG_TH_Quiz_Broad,RG_TH_Quiz_TH_AD01_Pain,Single Video 9:16 + Square 1:1 (Dynamic),Pain,Mùa hè này con bạn sẽ làm gì? Ở nhà với điện thoại?,Hè Vàng — Đừng để lãng phí,Đăng ký ngay,https://truongvietanh.com/lioncamp/quiz?utm_source=fb&utm_campaign=RG_TH_Quiz_LionCamp_2026
