Campaign,Ad Set Name,Audience,Exclude,Locations,Age,Gender,Placement,Daily Budget (VND),Optimization,Attribution,Pacing
GV_THPT_Quiz_LionCamp_2026,GV_THPT_Quiz_Broad,Broad AI (no interest),Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",38-55,All,Auto (Reels + Feed + Stories),184000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
GV_THPT_Quiz_LionCamp_2026,GV_THPT_Quiz_Interest,"Interest: Parenting + Education | Du học, Hướng nghiệp, Đại học, IELTS, Kỹ năng mềm",Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",38-55,All,Auto (Reels + Feed + Stories),153000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
GV_THPT_Quiz_LionCamp_2026,GV_THPT_Quiz_LAL,Lookalike 1-2% (LeadDB + Quiz),Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",38-55,All,Auto (Reels + Feed + Stories),122000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
GV_THPT_Quiz_LionCamp_2026,GV_THPT_Quiz_RMK,Retarget: Web 30d + Video 50% + Form 14d,Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",38-55,All,Auto (Reels + Feed + Stories),153000,Conversion (QuizComplete) — 7d click,"7-day click, 1-day view",Standard
GV_THPT_VSL_LionCamp_2026,GV_THPT_VSL_Broad,Broad AI (no interest),Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",38-55,All,Auto (Reels + Feed + Stories),110000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
GV_THPT_VSL_LionCamp_2026,GV_THPT_VSL_Interest,"Interest: Parenting + Education | Du học, Hướng nghiệp, Đại học, IELTS, Kỹ năng mềm",Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",38-55,All,Auto (Reels + Feed + Stories),92000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
GV_THPT_VSL_LionCamp_2026,GV_THPT_VSL_LAL,Lookalike 1-2% (LeadDB + Quiz),Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",38-55,All,Auto (Reels + Feed + Stories),74000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
GV_THPT_VSL_LionCamp_2026,GV_THPT_VSL_RMK,Retarget: Web 30d + Video 50% + Form 14d,Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",38-55,All,Auto (Reels + Feed + Stories),92000,ThruPlay → Custom: ViewLP60s,"7-day click, 1-day view",Standard
GV_THPT_Sales_LionCamp_2026,GV_THPT_Sales_Broad,Broad AI (no interest),Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",38-55,All,Manual: FB Feed + IG Feed + Reels,74000,Conversion (Lead) — 7d click + 1d view,"7-day click, 1-day view",Standard
GV_THPT_Sales_LionCamp_2026,GV_THPT_Sales_Interest,"Interest: Parenting + Education | Du học, Hướng nghiệp, Đại học, IELTS, Kỹ năng mềm",Existing Leads 90d + Customers 365d,"Gò Vấp + Bán kính 5km + Q12, Tân Bình, Bình Thạnh",38-55,All,Manual: FB Feed + IG Feed + Reels,61000,Conversion (Lead) — 7d click + 1d view,"7-day click, 1-day view",Standard
