Campaign,Sitelink text,Description line 1,Description line 2,Final URL,Device preference
Search_CanGiuoc_LionCamp2026,Xem Học Phí 2026,Bảng học phí trại hè,Ưu đãi Early Bird 15%,https://truongvietanh.com/hoc-phi-lion-camp,
Search_CanGiuoc_LionCamp2026,Đặt Tham Quan,Miễn phí cuối tuần,Gặp GV và lớp học,https://truongvietanh.com/dat-tham-quan,
Search_CanGiuoc_LionCamp2026,Cơ Sở Cần Giuộc,KDC Long Hậu,Nhân Lễ Thái Sơn,https://truongvietanh.com/co-so-can-giuoc,
Search_CanGiuoc_LionCamp2026,FAQ Phụ Huynh,Ăn uống ngủ nghỉ,Xe đưa đón đồng phục,https://truongvietanh.com/faq,
Search_CanGiuoc_LionCamp2026,Chương Trình Tiểu Học,Hè 6 tuần bán trú,Tiếng Anh + kỹ năng,https://truongvietanh.com/sales-tinh-can-giuoc,
Search_CanGiuoc_LionCamp2026,Hotline 0916 961 409,Tư vấn miễn phí,Zalo 24/7,https://truongvietanh.com/sales-tinh-can-giuoc,mobile
Search_RachGia_LionCamp2026,Xem Học Phí 2026,Bảng học phí trại hè,Ưu đãi Early Bird 15%,https://truongvietanh.com/hoc-phi-lion-camp,
Search_RachGia_LionCamp2026,Đặt Tham Quan,Miễn phí cuối tuần,Gặp GV và lớp học,https://truongvietanh.com/dat-tham-quan,
Search_RachGia_LionCamp2026,Cơ Sở Rạch Giá,KĐT Tây Bắc Mekong Xanh,Rạch Sỏi Kiên Giang,https://truongvietanh.com/co-so-rach-gia,
Search_RachGia_LionCamp2026,FAQ Phụ Huynh,Ăn uống ngủ nghỉ,Xe đưa đón đồng phục,https://truongvietanh.com/faq,
Search_RachGia_LionCamp2026,Chương Trình Tiểu Học,Hè 6 tuần bán trú,Tiếng Anh + kỹ năng,https://truongvietanh.com/sales-tinh-rach-gia,
Search_RachGia_LionCamp2026,Hotline 0916 961 409,Tư vấn miễn phí,Zalo 24/7,https://truongvietanh.com/sales-tinh-rach-gia,mobile
