Campaign Name,Region,Level,Funnel,Slot Goal,Objective,CBO?,Daily Budget (VND),Total Budget (VND),Bid Strategy,Start,End,Special Ad Category
GV_THPT_Quiz_LionCamp_2026,Gò Vấp,THPT,Quiz,100,Leads (Conversion: QuizComplete),"Yes (ABO for Test, CBO sau Day 7)",612000,36720000,Lowest cost (cap khi scale),2026-04-18,2026-06-15,None
GV_THPT_VSL_LionCamp_2026,Gò Vấp,THPT,VSL,100,Conversions (ThruPlay → ViewLP),"Yes (ABO for Test, CBO sau Day 7)",368000,22080000,Lowest cost (cap khi scale),2026-04-18,2026-06-15,None
GV_THPT_Sales_LionCamp_2026,Gò Vấp,THPT,Sales,100,Conversions (Lead/Booking),"Yes (ABO for Test, CBO sau Day 7)",245000,14700000,Lowest cost (cap khi scale),2026-04-18,2026-06-15,None
BT_THPT_Quiz_LionCamp_2026,Bình Tân,THPT,Quiz,100,Leads (Conversion: QuizComplete),"Yes (ABO for Test, CBO sau Day 7)",612000,36720000,Lowest cost (cap khi scale),2026-04-18,2026-06-15,None
BT_THPT_VSL_LionCamp_2026,Bình Tân,THPT,VSL,100,Conversions (ThruPlay → ViewLP),"Yes (ABO for Test, CBO sau Day 7)",368000,22080000,Lowest cost (cap khi scale),2026-04-18,2026-06-15,None
BT_THPT_Sales_LionCamp_2026,Bình Tân,THPT,Sales,100,Conversions (Lead/Booking),"Yes (ABO for Test, CBO sau Day 7)",245000,14700000,Lowest cost (cap khi scale),2026-04-18,2026-06-15,None
GV_THCS_Quiz_LionCamp_2026,Gò Vấp,THCS,Quiz,100,Leads (Conversion: QuizComplete),"Yes (ABO for Test, CBO sau Day 7)",525000,31500000,Lowest cost (cap khi scale),2026-04-18,2026-06-15,None
GV_THCS_VSL_LionCamp_2026,Gò Vấp,THCS,VSL,100,Conversions (ThruPlay → ViewLP),"Yes (ABO for Test, CBO sau Day 7)",315000,18900000,Lowest cost (cap khi scale),2026-04-18,2026-06-15,None
GV_THCS_Sales_LionCamp_2026,Gò Vấp,THCS,Sales,100,Conversions (Lead/Booking),"Yes (ABO for Test, CBO sau Day 7)",210000,12600000,Lowest cost (cap khi scale),2026-04-18,2026-06-15,None
BT_THCS_Quiz_LionCamp_2026,Bình Tân,THCS,Quiz,100,Leads (Conversion: QuizComplete),"Yes (ABO for Test, CBO sau Day 7)",525000,31500000,Lowest cost (cap khi scale),2026-04-18,2026-06-15,None
BT_THCS_VSL_LionCamp_2026,Bình Tân,THCS,VSL,100,Conversions (ThruPlay → ViewLP),"Yes (ABO for Test, CBO sau Day 7)",315000,18900000,Lowest cost (cap khi scale),2026-04-18,2026-06-15,None
BT_THCS_Sales_LionCamp_2026,Bình Tân,THCS,Sales,100,Conversions (Lead/Booking),"Yes (ABO for Test, CBO sau Day 7)",210000,12600000,Lowest cost (cap khi scale),2026-04-18,2026-06-15,None
GV_TH_Quiz_LionCamp_2026,Gò Vấp,Tiểu học,Quiz,50,Leads (Conversion: QuizComplete),"Yes (ABO for Test, CBO sau Day 7)",368000,22080000,Lowest cost (cap khi scale),2026-04-18,2026-06-15,None
GV_TH_VSL_LionCamp_2026,Gò Vấp,Tiểu học,VSL,50,Conversions (ThruPlay → ViewLP),"Yes (ABO for Test, CBO sau Day 7)",220000,13200000,Lowest cost (cap khi scale),2026-04-18,2026-06-15,None
GV_TH_Sales_LionCamp_2026,Gò Vấp,Tiểu học,Sales,50,Conversions (Lead/Booking),"Yes (ABO for Test, CBO sau Day 7)",147000,8820000,Lowest cost (cap khi scale),2026-04-18,2026-06-15,None
BT_TH_Quiz_LionCamp_2026,Bình Tân,Tiểu học,Quiz,50,Leads (Conversion: QuizComplete),"Yes (ABO for Test, CBO sau Day 7)",368000,22080000,Lowest cost (cap khi scale),2026-04-18,2026-06-15,None
BT_TH_VSL_LionCamp_2026,Bình Tân,Tiểu học,VSL,50,Conversions (ThruPlay → ViewLP),"Yes (ABO for Test, CBO sau Day 7)",220000,13200000,Lowest cost (cap khi scale),2026-04-18,2026-06-15,None
BT_TH_Sales_LionCamp_2026,Bình Tân,Tiểu học,Sales,50,Conversions (Lead/Booking),"Yes (ABO for Test, CBO sau Day 7)",147000,8820000,Lowest cost (cap khi scale),2026-04-18,2026-06-15,None
CL_TH_Quiz_LionCamp_2026,Cần Giuộc,Tiểu học,Quiz,50,Leads (Conversion: QuizComplete),"Yes (ABO for Test, CBO sau Day 7)",245000,14700000,Lowest cost (cap khi scale),2026-04-18,2026-06-15,None
CL_TH_VSL_LionCamp_2026,Cần Giuộc,Tiểu học,VSL,50,Conversions (ThruPlay → ViewLP),"Yes (ABO for Test, CBO sau Day 7)",147000,8820000,Lowest cost (cap khi scale),2026-04-18,2026-06-15,None
CL_TH_Sales_LionCamp_2026,Cần Giuộc,Tiểu học,Sales,50,Conversions (Lead/Booking),"Yes (ABO for Test, CBO sau Day 7)",98000,5880000,Lowest cost (cap khi scale),2026-04-18,2026-06-15,None
RG_TH_Quiz_LionCamp_2026,Rạch Giá,Tiểu học,Quiz,50,Leads (Conversion: QuizComplete),"Yes (ABO for Test, CBO sau Day 7)",245000,14700000,Lowest cost (cap khi scale),2026-04-18,2026-06-15,None
RG_TH_VSL_LionCamp_2026,Rạch Giá,Tiểu học,VSL,50,Conversions (ThruPlay → ViewLP),"Yes (ABO for Test, CBO sau Day 7)",147000,8820000,Lowest cost (cap khi scale),2026-04-18,2026-06-15,None
