url,template_class,seo_title,seo_desc,hero_h1,hero_subtext,content_json,cta_text
/%f0%9f%8f%86%f0%9f%8f%86%f0%9f%8f%862019-danh-dau-nam-day-ap-thanh-cong-hoc-sinh-viet-anh/,Class Alumni & Success Stories,2019 - ĐÁNH DẤU NĂM ĐẦY ẮP “THÀNH CÔNG”... | Trường Việt Anh,"2019 - ĐÁNH DẤU NĂM ĐẦY ẮP “THÀNH CÔNG” HỌC SINH VIỆT ANH. Khám phá tại Trường Việt Anh — hệ thống giáo dục song ngữ liên cấp, PDR cá nhân hoá.",2019 - ĐÁNH DẤU NĂM ĐẦY ẮP “THÀNH CÔNG” HỌC SINH VIỆT ANH,2019 - ĐÁNH DẤU NĂM ĐẦY ẮP “THÀNH CÔNG” HỌC SINH VIỆT ANH. Góc nhìn chuyên sâu từ Trường Việt Anh — nơi giáo dục tự chủ và song ngữ là nền tảng.,"[{""type"":""paragraph"",""content"":""2019 - ĐÁNH DẤU NĂM ĐẦY ẮP “THÀNH CÔNG” HỌC SINH VIỆT ANH. Câu chuyện thành công của cộng đồng Việt Anh — nơi các thế hệ học sinh không chỉ giỏi kiến thức mà còn tự tin bước vào đời.""},{""type"":""heading-2"",""content"":""Điểm nổi bật""},{""type"":""paragraph"",""content"":""Trường Việt Anh mang đến môi trường giáo dục liên cấp từ Mầm non đến THPT, với triết lý \""Tự chủ — Song ngữ — Hạnh phúc\"". Mỗi học sinh được theo dõi cá nhân qua hệ thống PDR, đảm bảo không ai bị bỏ lại phía sau.""},{""type"":""bullet-list"",""items"":[""Liên cấp MN — TH — THCS — THPT: không \""gãy\"" khi chuyển trường"",""Sĩ số 28 HS/lớp: giáo viên quan tâm từng em"",""PDR theo dõi phát triển hàng tuần"",""Cam kết IELTS 6.0+ khi tốt nghiệp"",""3 campus tại TPHCM: Gò Vấp, Bình Tân, Phú Nhuận""]},{""type"":""heading-2"",""content"":""Bước tiếp theo cho phụ huynh""},{""type"":""paragraph"",""content"":""Đăng ký tham quan miễn phí để trải nghiệm thực tế môi trường học tập tại Việt Anh — gặp giáo viên, xem phòng học, và cảm nhận sự khác biệt.""}]",Xem Thêm Câu Chuyện Thành Công
/%f0%9f%8f%86-chuc-mung-cao-thu-ielts-truong-viet-anh-%f0%9f%8f%86/,Class Parent Hub Article,CHÚC MỪNG “CAO THỦ” IELTS TRƯỜNG VIỆT ANH | Trường Việt Anh,CHÚC MỪNG “CAO THỦ” IELTS TRƯỜNG VIỆT ANH. Chương trình Chuyên Anh Việt Anh giúp học sinh phát triển toàn diện 4 kỹ năng. Cam kết IELTS 6.0+.,CHÚC MỪNG “CAO THỦ” IELTS TRƯỜNG VIỆT ANH,Chia sẻ từ đội ngũ Chuyên Anh Trường Việt Anh: chúc mừng “cao thủ” ielts trường việt anh. Kinh nghiệm thực tế từ hàng ngàn học sinh.,"[{""type"":""paragraph"",""content"":""CHÚC MỪNG “CAO THỦ” IELTS TRƯỜNG VIỆT ANH — đây là câu hỏi nhiều phụ huynh đặt ra. Tại Trường Việt Anh, chúng tôi đúc kết từ kinh nghiệm thực tế với hàng ngàn học sinh để chia sẻ góc nhìn thực dụng, không lý thuyết suông.""},{""type"":""heading-2"",""content"":""Điểm nổi bật""},{""type"":""paragraph"",""content"":""Tại Trường Việt Anh, tiếng Anh không phải là \""môn học\"" mà là \""ngôn ngữ sống\"". Học sinh sử dụng tiếng Anh trong giao tiếp hàng ngày với giáo viên bản ngữ — tự nhiên như hơi thở, không áp lực như thi cử.""},{""type"":""bullet-list"",""items"":[""Chương trình Chuyên Anh từ Mầm Non đến THPT"",""5-15 tiết tiếng Anh/tuần với giáo viên bản ngữ"",""IELTS Foundation từ lớp 6, cam kết 6.0+ khi tốt nghiệp"",""Debate, Drama, Academic Writing — học TA qua thực hành"",""Không cần trung tâm tiếng Anh bên ngoài""]},{""type"":""heading-2"",""content"":""Bước tiếp theo cho phụ huynh""},{""type"":""paragraph"",""content"":""Đăng ký tham quan miễn phí để trải nghiệm thực tế môi trường học tập tại Việt Anh — gặp giáo viên, xem phòng học, và cảm nhận sự khác biệt.""}]",Đặt Lịch Tham Quan Miễn Phí
/%f0%9f%93%a2-su-kien-thang-8-khong-the-bo-lo-music-talshow-2018/,Class Open Day / Event Landing,SỰ KIỆN THÁNG 8 KHÔNG THỂ BỎ LỠ? - MUSI... | Trường Việt Anh,"SỰ KIỆN THÁNG 8 KHÔNG THỂ BỎ LỠ? - MUSIC TALK SHOW 2018. Khám phá tại Trường Việt Anh — hệ thống giáo dục song ngữ liên cấp, PDR cá nhân hoá.",SỰ KIỆN THÁNG 8 KHÔNG THỂ BỎ LỠ? - MUSIC TALK SHOW 2018,SỰ KIỆN THÁNG 8 KHÔNG THỂ BỎ LỠ? - MUSIC TALK SHOW 2018. Góc nhìn chuyên sâu từ Trường Việt Anh — nơi giáo dục tự chủ và song ngữ là nền tảng.,"[{""type"":""paragraph"",""content"":""SỰ KIỆN THÁNG 8 KHÔNG THỂ BỎ LỠ? - MUSIC TALK SHOW 2018. Sự kiện đặc biệt tại Trường Việt Anh — nơi kết nối cộng đồng giáo dục, tạo cơ hội trải nghiệm thực tế cho học sinh và phụ huynh.""},{""type"":""heading-2"",""content"":""Điểm nổi bật""},{""type"":""paragraph"",""content"":""Trường Việt Anh mang đến môi trường giáo dục liên cấp từ Mầm non đến THPT, với triết lý \""Tự chủ — Song ngữ — Hạnh phúc\"". Mỗi học sinh được theo dõi cá nhân qua hệ thống PDR, đảm bảo không ai bị bỏ lại phía sau.""},{""type"":""bullet-list"",""items"":[""Liên cấp MN — TH — THCS — THPT: không \""gãy\"" khi chuyển trường"",""Sĩ số 28 HS/lớp: giáo viên quan tâm từng em"",""PDR theo dõi phát triển hàng tuần"",""Cam kết IELTS 6.0+ khi tốt nghiệp"",""3 campus tại TPHCM: Gò Vấp, Bình Tân, Phú Nhuận""]},{""type"":""heading-2"",""content"":""Bước tiếp theo cho phụ huynh""},{""type"":""paragraph"",""content"":""Đăng ký tham quan miễn phí để trải nghiệm thực tế môi trường học tập tại Việt Anh — gặp giáo viên, xem phòng học, và cảm nhận sự khác biệt.""}]",Đăng Ký Sự Kiện Sắp Tới
/10-bi-mat-cua-nguoi-noi-tieng-anh-thanh-cong/,Class Alumni & Success Stories,10 BÍ MẬT CỦA NGƯỜI NÓI TIẾNG ANH THÀNH... | Trường Việt Anh,"10 BÍ MẬT CỦA NGƯỜI NÓI TIẾNG ANH THÀNH CÔNG. Khám phá tại Trường Việt Anh — hệ thống giáo dục song ngữ liên cấp, PDR cá nhân hoá.",10 BÍ MẬT CỦA NGƯỜI NÓI TIẾNG ANH THÀNH CÔNG,10 BÍ MẬT CỦA NGƯỜI NÓI TIẾNG ANH THÀNH CÔNG. Góc nhìn chuyên sâu từ Trường Việt Anh — nơi giáo dục tự chủ và song ngữ là nền tảng.,"[{""type"":""paragraph"",""content"":""10 BÍ MẬT CỦA NGƯỜI NÓI TIẾNG ANH THÀNH CÔNG. Câu chuyện thành công của cộng đồng Việt Anh — nơi các thế hệ học sinh không chỉ giỏi kiến thức mà còn tự tin bước vào đời.""},{""type"":""heading-2"",""content"":""Điểm nổi bật""},{""type"":""paragraph"",""content"":""Trường Việt Anh mang đến môi trường giáo dục liên cấp từ Mầm non đến THPT, với triết lý \""Tự chủ — Song ngữ — Hạnh phúc\"". Mỗi học sinh được theo dõi cá nhân qua hệ thống PDR, đảm bảo không ai bị bỏ lại phía sau.""},{""type"":""bullet-list"",""items"":[""Liên cấp MN — TH — THCS — THPT: không \""gãy\"" khi chuyển trường"",""Sĩ số 28 HS/lớp: giáo viên quan tâm từng em"",""PDR theo dõi phát triển hàng tuần"",""Cam kết IELTS 6.0+ khi tốt nghiệp"",""3 campus tại TPHCM: Gò Vấp, Bình Tân, Phú Nhuận""]},{""type"":""heading-2"",""content"":""Bước tiếp theo cho phụ huynh""},{""type"":""paragraph"",""content"":""Đăng ký tham quan miễn phí để trải nghiệm thực tế môi trường học tập tại Việt Anh — gặp giáo viên, xem phòng học, và cảm nhận sự khác biệt.""}]",Xem Thêm Câu Chuyện Thành Công
/10-dai-hoc-my-co-chuong-trinh-thuc-tap-hap-dan/,Class Curriculum / Program Overview,10 đại học Mỹ có chương trình thực tập ... | Trường Việt Anh,"10 đại học Mỹ có chương trình thực tập hấp dẫn. Khám phá tại Trường Việt Anh — hệ thống giáo dục song ngữ liên cấp, PDR cá nhân hoá.",10 đại học Mỹ có chương trình thực tập hấp dẫn,10 đại học Mỹ có chương trình thực tập hấp dẫn. Góc nhìn chuyên sâu từ Trường Việt Anh — nơi giáo dục tự chủ và song ngữ là nền tảng.,"[{""type"":""paragraph"",""content"":""10 đại học Mỹ có chương trình thực tập hấp dẫn. Chương trình đào tạo tại Trường Việt Anh kết hợp Bộ GDĐT + Cambridge + Active Learning, đảm bảo học sinh phát triển toàn diện.""},{""type"":""heading-2"",""content"":""Điểm nổi bật""},{""type"":""paragraph"",""content"":""Trường Việt Anh mang đến môi trường giáo dục liên cấp từ Mầm non đến THPT, với triết lý \""Tự chủ — Song ngữ — Hạnh phúc\"". Mỗi học sinh được theo dõi cá nhân qua hệ thống PDR, đảm bảo không ai bị bỏ lại phía sau.""},{""type"":""bullet-list"",""items"":[""Liên cấp MN — TH — THCS — THPT: không \""gãy\"" khi chuyển trường"",""Sĩ số 28 HS/lớp: giáo viên quan tâm từng em"",""PDR theo dõi phát triển hàng tuần"",""Cam kết IELTS 6.0+ khi tốt nghiệp"",""3 campus tại TPHCM: Gò Vấp, Bình Tân, Phú Nhuận""]},{""type"":""heading-2"",""content"":""Bước tiếp theo cho phụ huynh""},{""type"":""paragraph"",""content"":""Đăng ký tham quan miễn phí để trải nghiệm thực tế môi trường học tập tại Việt Anh — gặp giáo viên, xem phòng học, và cảm nhận sự khác biệt.""}]",Đặt Lịch Tham Quan Miễn Phí
/10-dieu-thu-vi-ve-giao-duc-dai-hoc-o-trung-quoc/,Class Parent Hub Article,10 điều thú vị về giáo dục đại học ở Tr... | Trường Việt Anh,10 điều thú vị về giáo dục đại học ở Trung Quốc. Chia sẻ từ đội ngũ giáo dục Việt Anh — đồng hành cùng phụ huynh nuôi dạy con tự chủ.,10 điều thú vị về giáo dục đại học ở Trung Quốc,Hướng dẫn thực tế cho phụ huynh: 10 điều thú vị về giáo dục đại học ở trung quốc. Được biên soạn từ kinh nghiệm đồng hành cùng hàng ngàn gia đình.,"[{""type"":""paragraph"",""content"":""10 điều thú vị về giáo dục đại học ở Trung Quốc — đây là câu hỏi nhiều phụ huynh đặt ra. Tại Trường Việt Anh, chúng tôi đúc kết từ kinh nghiệm thực tế với hàng ngàn học sinh để chia sẻ góc nhìn thực dụng, không lý thuyết suông.""},{""type"":""heading-2"",""content"":""Điểm nổi bật""},{""type"":""paragraph"",""content"":""Giáo dục không chỉ diễn ra ở trường. Việt Anh tin rằng phụ huynh là \""giáo viên đầu đời\"" quan trọng nhất. Hệ thống PDR giúp phụ huynh đồng hành cùng con hiệu quả — biết con cần gì, đang ở đâu, và cần hỗ trợ thế nào.""},{""type"":""bullet-list"",""items"":[""PDR cập nhật tiến bộ của con hàng tuần"",""Kênh liên lạc trực tiếp với giáo viên chủ nhiệm"",""Workshop phụ huynh định kỳ hàng tháng"",""Tâm lý học đường hỗ trợ miễn phí""]},{""type"":""heading-2"",""content"":""Bước tiếp theo cho phụ huynh""},{""type"":""paragraph"",""content"":""Đăng ký tham quan miễn phí để trải nghiệm thực tế môi trường học tập tại Việt Anh — gặp giáo viên, xem phòng học, và cảm nhận sự khác biệt.""}]",Đặt Lịch Tham Quan Miễn Phí
/10-hoc-bong-hang-dau-the-gioi-cho-du-hoc-sinh/,Class Fee Capture Landing,10 HỌC BỔNG HÀNG ĐẦU THẾ GIỚI CHO DU HỌ... | Trường Việt Anh,"10 HỌC BỔNG HÀNG ĐẦU THẾ GIỚI CHO DU HỌC SINH. Khám phá tại Trường Việt Anh — hệ thống giáo dục song ngữ liên cấp, PDR cá nhân hoá.",10 HỌC BỔNG HÀNG ĐẦU THẾ GIỚI CHO DU HỌC SINH,10 HỌC BỔNG HÀNG ĐẦU THẾ GIỚI CHO DU HỌC SINH. Góc nhìn chuyên sâu từ Trường Việt Anh — nơi giáo dục tự chủ và song ngữ là nền tảng.,"[{""type"":""paragraph"",""content"":""10 HỌC BỔNG HÀNG ĐẦU THẾ GIỚI CHO DU HỌC SINH. Thông tin minh bạch về chính sách học phí và học bổng tại Trường Việt Anh — đầu tư thông minh cho tương lai con.""},{""type"":""heading-2"",""content"":""Điểm nổi bật""},{""type"":""paragraph"",""content"":""Trường Việt Anh mang đến môi trường giáo dục liên cấp từ Mầm non đến THPT, với triết lý \""Tự chủ — Song ngữ — Hạnh phúc\"". Mỗi học sinh được theo dõi cá nhân qua hệ thống PDR, đảm bảo không ai bị bỏ lại phía sau.""},{""type"":""bullet-list"",""items"":[""Liên cấp MN — TH — THCS — THPT: không \""gãy\"" khi chuyển trường"",""Sĩ số 28 HS/lớp: giáo viên quan tâm từng em"",""PDR theo dõi phát triển hàng tuần"",""Cam kết IELTS 6.0+ khi tốt nghiệp"",""3 campus tại TPHCM: Gò Vấp, Bình Tân, Phú Nhuận""]},{""type"":""heading-2"",""content"":""Bước tiếp theo cho phụ huynh""},{""type"":""paragraph"",""content"":""Đăng ký tham quan miễn phí để trải nghiệm thực tế môi trường học tập tại Việt Anh — gặp giáo viên, xem phòng học, và cảm nhận sự khác biệt.""}]",Nhận Bảng Học Phí Chi Tiết
/10-ly-do-tai-sao-ban-hoc-tieng-anh/,Class Parent Hub Article,10 LÝ DO: TẠI SAO BẠN HỌC TIẾNG ANH | Trường Việt Anh,10 LÝ DO: TẠI SAO BẠN HỌC TIẾNG ANH. Chương trình Chuyên Anh Việt Anh giúp học sinh phát triển toàn diện 4 kỹ năng. Cam kết IELTS 6.0+.,10 LÝ DO: TẠI SAO BẠN HỌC TIẾNG ANH,Chia sẻ từ đội ngũ Chuyên Anh Trường Việt Anh: 10 lý do: tại sao bạn học tiếng anh. Kinh nghiệm thực tế từ hàng ngàn học sinh.,"[{""type"":""paragraph"",""content"":""10 LÝ DO: TẠI SAO BẠN HỌC TIẾNG ANH — đây là câu hỏi nhiều phụ huynh đặt ra. Tại Trường Việt Anh, chúng tôi đúc kết từ kinh nghiệm thực tế với hàng ngàn học sinh để chia sẻ góc nhìn thực dụng, không lý thuyết suông.""},{""type"":""heading-2"",""content"":""Điểm nổi bật""},{""type"":""paragraph"",""content"":""Tại Trường Việt Anh, tiếng Anh không phải là \""môn học\"" mà là \""ngôn ngữ sống\"". Học sinh sử dụng tiếng Anh trong giao tiếp hàng ngày với giáo viên bản ngữ — tự nhiên như hơi thở, không áp lực như thi cử.""},{""type"":""bullet-list"",""items"":[""Chương trình Chuyên Anh từ Mầm Non đến THPT"",""5-15 tiết tiếng Anh/tuần với giáo viên bản ngữ"",""IELTS Foundation từ lớp 6, cam kết 6.0+ khi tốt nghiệp"",""Debate, Drama, Academic Writing — học TA qua thực hành"",""Không cần trung tâm tiếng Anh bên ngoài""]},{""type"":""heading-2"",""content"":""Bước tiếp theo cho phụ huynh""},{""type"":""paragraph"",""content"":""Đăng ký tham quan miễn phí để trải nghiệm thực tế môi trường học tập tại Việt Anh — gặp giáo viên, xem phòng học, và cảm nhận sự khác biệt.""}]",Đặt Lịch Tham Quan Miễn Phí
/10-ly-do-tai-sao-ban-nen-hoc-tieng-anh/,Class Parent Hub Article,10 LÝ DO TẠI SAO BẠN NÊN HỌC TIẾNG ANH | Trường Việt Anh,10 LÝ DO TẠI SAO BẠN NÊN HỌC TIẾNG ANH. Chương trình Chuyên Anh Việt Anh giúp học sinh phát triển toàn diện 4 kỹ năng. Cam kết IELTS 6.0+.,10 LÝ DO TẠI SAO BẠN NÊN HỌC TIẾNG ANH,Chia sẻ từ đội ngũ Chuyên Anh Trường Việt Anh: 10 lý do tại sao bạn nên học tiếng anh. Kinh nghiệm thực tế từ hàng ngàn học sinh.,"[{""type"":""paragraph"",""content"":""10 LÝ DO TẠI SAO BẠN NÊN HỌC TIẾNG ANH — đây là câu hỏi nhiều phụ huynh đặt ra. Tại Trường Việt Anh, chúng tôi đúc kết từ kinh nghiệm thực tế với hàng ngàn học sinh để chia sẻ góc nhìn thực dụng, không lý thuyết suông.""},{""type"":""heading-2"",""content"":""Điểm nổi bật""},{""type"":""paragraph"",""content"":""Tại Trường Việt Anh, tiếng Anh không phải là \""môn học\"" mà là \""ngôn ngữ sống\"". Học sinh sử dụng tiếng Anh trong giao tiếp hàng ngày với giáo viên bản ngữ — tự nhiên như hơi thở, không áp lực như thi cử.""},{""type"":""bullet-list"",""items"":[""Chương trình Chuyên Anh từ Mầm Non đến THPT"",""5-15 tiết tiếng Anh/tuần với giáo viên bản ngữ"",""IELTS Foundation từ lớp 6, cam kết 6.0+ khi tốt nghiệp"",""Debate, Drama, Academic Writing — học TA qua thực hành"",""Không cần trung tâm tiếng Anh bên ngoài""]},{""type"":""heading-2"",""content"":""Bước tiếp theo cho phụ huynh""},{""type"":""paragraph"",""content"":""Đăng ký tham quan miễn phí để trải nghiệm thực tế môi trường học tập tại Việt Anh — gặp giáo viên, xem phòng học, và cảm nhận sự khác biệt.""}]",Đặt Lịch Tham Quan Miễn Phí
/10-suy-nghi-khien-ban-khong-duoc-hoc-bong/,Class Fee Capture Landing,10 SUY NGHĨ KHIẾN BẠN KHÔNG ĐƯỢC HỌC BỔNG | Trường Việt Anh,"10 SUY NGHĨ KHIẾN BẠN KHÔNG ĐƯỢC HỌC BỔNG. Khám phá tại Trường Việt Anh — hệ thống giáo dục song ngữ liên cấp, PDR cá nhân hoá.",10 SUY NGHĨ KHIẾN BẠN KHÔNG ĐƯỢC HỌC BỔNG,10 SUY NGHĨ KHIẾN BẠN KHÔNG ĐƯỢC HỌC BỔNG. Góc nhìn chuyên sâu từ Trường Việt Anh — nơi giáo dục tự chủ và song ngữ là nền tảng.,"[{""type"":""paragraph"",""content"":""10 SUY NGHĨ KHIẾN BẠN KHÔNG ĐƯỢC HỌC BỔNG. Thông tin minh bạch về chính sách học phí và học bổng tại Trường Việt Anh — đầu tư thông minh cho tương lai con.""},{""type"":""heading-2"",""content"":""Điểm nổi bật""},{""type"":""paragraph"",""content"":""Trường Việt Anh mang đến môi trường giáo dục liên cấp từ Mầm non đến THPT, với triết lý \""Tự chủ — Song ngữ — Hạnh phúc\"". Mỗi học sinh được theo dõi cá nhân qua hệ thống PDR, đảm bảo không ai bị bỏ lại phía sau.""},{""type"":""bullet-list"",""items"":[""Liên cấp MN — TH — THCS — THPT: không \""gãy\"" khi chuyển trường"",""Sĩ số 28 HS/lớp: giáo viên quan tâm từng em"",""PDR theo dõi phát triển hàng tuần"",""Cam kết IELTS 6.0+ khi tốt nghiệp"",""3 campus tại TPHCM: Gò Vấp, Bình Tân, Phú Nhuận""]},{""type"":""heading-2"",""content"":""Bước tiếp theo cho phụ huynh""},{""type"":""paragraph"",""content"":""Đăng ký tham quan miễn phí để trải nghiệm thực tế môi trường học tập tại Việt Anh — gặp giáo viên, xem phòng học, và cảm nhận sự khác biệt.""}]",Nhận Bảng Học Phí Chi Tiết
